1,"LRJVNMCIT5GXD4BKVM6D",80.5472,1740.8818,35
2,"MHN4U5WDMPH7CLE3UPCH",67.2324,4443.8203,9
3,"OMNQDJBUVOFDD12TF5NK",20.0965,1250.0006,25
4,"DCOTBBLTMWY9FFYH4OZG",47.9215,5268.4066,32
5,"8BCZDA1DV4LA40IZA07H",21.3973,9884.4124,25
6,"N7RG57W13R8HM401E7AN",9.3809,1141.1868,7
7,"XLYWBNGRME1ICY301DSK",13.6589,9617.6457,23
8,"GLC6TT2UCYMXW9IFJ589",42.8579,2368.7512,19
9,"VKFXUV0W27GGN13P76J6",44.2893,9190.5321,40
10,"VFSXWW1U0YYSSDOHXXC3",70.9823,5035.6038,28
11,"56614YJR23XS1STGQ2U0",4.7612,9802.3731,6
12,"2FT4D5VQAS39HWP50FG6",41.591,3194.4281,24
13,"TRZYZWQIK5HLOLG2P3SJ",58.3589,9487.0817,37
14,"GV7KL4PEYKAN845P5WJ4",79.1156,4758.4652,31
15,"IWNZQ8D7DGQ6T7CTAO2B",95.0762,211.8009,28
16,"NQLNYZPPVNZLK1BS4JWW",52.4346,9050.5218,5
17,"FM7UPEG2U29JSU1SAT9S",62.8294,1469.1421,13
18,"9KYW8XDKSAM76N4ZMHY7",60.455,3278.6559,4
19,"5LLP5YQIVNESHUUO7U3T",79.3086,4242.993,30
20,"7PCCWA0M5GGXIROWN6L6",36.1266,1129.2585,5
21,"VD7UP3BZ5YTIB2T2VASE",46.5007,605.1367,3
22,"WBMO68X6LA053OYWWEWY",2.2613,9771.9912,8
23,"SU166MCRZHOJRZO16621",45.0111,2096.6608,40
24,"VKVB3NH2RV2B345SWZCV",93.2585,3844.9415,28
25,"C1G2I91I9GDFOKBI1BE8",24.2278,7743.461,37
26,"6PCUV6VO5P2N1FJTA06Z",53.5036,3634.8389,3
27,"LYH2XYYO2QQT5792PR5W",66.9816,4778.4366,21
28,"BOMC5KUE7IUT3985LIA1",52.8203,6012.2458,35
29,"Y98VTZLYB67HK8K31I94",81.6215,396.8855,15
30,"5LJUGSDROX6ISGMQAEGE",1.9616,6781.0263,6
31,"UN3FYPEVZD53HYUDEDAD",51.9082,4320.7494,13
32,"RWFHH7O1AKKSW9G97CX3",33.1097,7679.4745,4
33,"QVCWBELRAAY6AA6KW5RZ",57.8064,1066.8629,33
34,"WS39I310J42XOUMUSRAU",59.7493,9591.4717,11
35,"HINKE8TNDQ04X0NO58DD",74.5094,6791.4656,19
36,"EVVOP8AJPR9QWE0ADH24",47.4679,457.5335,24
37,"2BLE1UBN35JD2NJBTE1F",75.7796,1156.4618,40
38,"S4Q4ZFB04BOUWK7HKFFX",28.2465,7080.3549,33
39,"6J7SSH4E4J95WY8E8DD9",13.2328,6021.2489,19
40,"HAYPG8JGOD2UN6ZAK9JE",27.6359,2357.1181,6
41,"P6H0XLP5CHEXU7EJ3ITU",51.0441,6483.8117,9
42,"B80IK9HI0VVA1TZO3C9X",27.7672,863.2552,17
43,"73KEXLS4AECOB2T5BI2O",99.6155,6310.9816,7
44,"V9UKAV5RIVZ2NL84J5CV",71.7571,4512.2011,23
45,"GUGSRNVVWQEUSFZI4SIC",55.7759,6256.9024,6
46,"VQ2GK3CRIN9LD1G340QF",11.8002,381.3264,14
47,"W63ILQWL8DWYZB52PJI1",31.978,4197.5192,40
48,"H1YHC63Z9O6RX75JVIL8",75.6242,7492.2239,9
49,"USZ1IEY7WQLIKK94E74B",30.4053,6742.5118,35
50,"0C301NXGKIP2KFLX0WLH",4.5194,1921.2742,11
51,"9UJHSKQOJFTIXSEGD2EI",30.1986,9950.1323,14
52,"G5QQHW2UQEADJZIHNPP6",22.6683,5653.2696,34
53,"HD16IYZQYXNV2SPD0UFM",49.2478,9836.6096,17
54,"2ATQ3SU0WPXD1AT09E0U",12.3656,62.8901,3
55,"RTTJI292V82PTKFBZIB8",19.3281,2876.8,14
56,"J4ZD0WOECHBTDTVI5D3M",90.6528,8058.1184,18
57,"PDHW6EN985LTCV3D2TFZ",23.6075,4551.9086,35
58,"NHD1G3DIKN8PUFCAHF9O",80.9572,1441.0688,19
59,"02VGAW49Q2NK8B3OEPHH",55.9319,6025.3903,19
60,"B1PIJQM9RIZ16RSW5QB6",37.4027,5093.0934,10
61,"5ZWFVJVOV5KH9R0C39SE",60.3214,4765.7315,14
62,"67LRNOFD3G1S4WUFW72S",20.5883,8255.4135,35
63,"JMFP148755KOLVJYG0U0",75.0106,5560.2884,16
64,"3DSG9IVOMWNSH7H17CHP",81.9954,7890.5137,29
65,"HU3L2GO0D5J8ES1YSHJ0",52.1232,8732.5458,8
